Iteracao;ValorObjetivo;Peso
2138;805;634
2139;803;623
2140;803;623
2141;799;610
2142;780;611
2143;800;639
2144;800;639
2145;800;639
2146;804;657
2147;791;624
2148;791;624
2149;814;652
2150;803;662
2151;813;635
2152;782;663
2153;785;623
2154;780;611
2155;799;610
2156;803;648
2157;800;627
2158;794;630
2159;800;627
2160;790;648
2161;791;607
2162;796;650
2163;783;630
2164;801;642
2165;801;642
2166;802;646
2167;799;610
2168;799;610
2169;805;620
2170;805;620
2171;794;630
2172;807;625
2173;807;625
2174;807;625
2175;788;626
2176;790;631
2177;795;647
2178;786;612
2179;799;610
2180;799;610
2181;799;610
2182;793;644
2183;805;620
2184;805;620
2185;805;620
2186;794;636
2187;781;628
2188;799;610
2189;799;610
2190;800;627
2191;799;610
2192;790;631
2193;799;610
2194;799;610
2195;799;610
2196;799;610
2197;799;610
2198;803;623
2199;799;610
2200;786;612
2201;790;623
2202;790;623
2203;799;610
2204;788;632
2205;799;610
2206;803;623
2207;799;610
2208;799;610
2209;803;623
2210;799;610
2211;803;623
2212;799;610
2213;807;625
2214;801;640
2215;799;610
2216;786;621
2217;803;623
2218;803;632
2219;799;610
2220;802;644
2221;792;645
2222;803;623
2223;803;623
2224;794;630
2225;794;630
2226;793;660
2227;799;610
2228;799;610
2229;799;610
2230;803;623
2231;796;684
2232;795;633
2233;797;626
2234;801;650
2235;803;623
2236;803;623
2237;795;633
2238;793;660
2239;797;637
2240;797;637
2241;793;655
2242;800;627
2243;803;623
2244;803;623
2245;804;652
2246;803;623
2247;803;623
2248;795;633
2249;795;633
2250;795;633
2251;785;641
2252;799;610
2253;800;627
2254;800;627
2255;799;610
2256;799;610
2257;799;610
2258;797;637
2259;800;627
2260;800;627
2261;797;637
2262;797;637
2263;805;628
2264;799;610
2265;799;610
2266;799;610
2267;797;637
2268;797;637
2269;797;637
2270;799;610
2271;793;645
2272;805;652
2273;799;610
2274;799;610
2275;790;625
2276;804;645
2277;804;645
2278;805;660
2279;805;660
2280;804;647
2281;799;610
2282;790;667
2283;811;656
2284;811;656
2285;811;656
2286;806;663
2287;803;632
2288;810;641
2289;802;634
2290;802;634
2291;799;610
2292;803;670
2293;803;670
2294;803;670
2295;803;670
2296;803;670
2297;799;610
2298;802;657
2299;812;669
2300;803;623
2301;812;669
2302;803;623
2303;810;681
2304;803;623
2305;800;620
2306;811;656
2307;811;656
2308;799;610
2309;803;632
2310;783;659
2311;786;612
2312;804;617
2313;799;610
2314;803;632
2315;803;632
2316;799;610
2317;799;610
2318;810;619
2319;805;652
2320;797;637
2321;811;638
2322;797;637
2323;775;657
2324;799;610
2325;799;610
2326;799;666
2327;791;658
2328;802;618
2329;802;618
2330;801;650
2331;801;650
2332;803;623
2333;794;625
2334;803;623
2335;803;623
2336;808;630
2337;802;672
2338;799;610
2339;799;610
2340;802;672
2341;803;623
2342;785;662
2343;799;610
2344;799;610
2345;786;634
2346;781;670
2347;804;617
2348;800;627
2349;803;623
2350;808;630
2351;770;586
2352;792;646
2353;786;620
2354;802;667
2355;781;613
2356;782;622

----------------------------------------

Lucro total: 903
Penalidade total: 83
Valor objetivo: 820
Peso na Mochila:651/775
Tempo (ms): 5677.66
Itens selecionados (por índice):
7 26 51 72 89 94 98 121 138 173 207 250 306 310 319 321 326 338 360 364 379 395 400 401 421 435 
